Time,Open,High,Low,Close,Volume,Volume_quote,hlc3,ohlc4,hl2,candlestick_pattern,keltner_up,keltner_down,bollinger_up,bollinger_down,smma125_high,smma120_low,flay_upper,flay_lower,sma7,sma34,sma99,sma200,sma314,tenkan_sen,kijun_sen,span_a,span_b,storm,storm_ema,normalizesma
2023-02-10 16:00:00,21652.75,21744.18,21633.32,21689.33,6602.46,143227716.97,21688.94,21679.9,21688.75,0,21964.231648391447,21598.85100360534,21933.11503380339,21619.939966197264,22150.545736959797,22047.13960763875,21926.287553070724,21679.86429006653,21777.06999999982,21811.02441176473,21950.75414141382,22376.983249999896,22651.661433121008,21710.620000000003,21729.08,21942.927499999998,22264.975,0.44990770099547256,0.5490326161090527,21781.541325998394
2023-02-10 16:15:00,21689.33,21709.6,21598.4,21630.59,4400.32,95266906.22,21646.2,21656.98,21654.0,0,21953.82629939039,21580.503719082895,21951.142037206348,21585.681962794308,22142.4041241598,22037.901047222083,21916.18400589235,21676.82294312726,21750.35857142839,21802.756176470615,21941.14585858554,22369.816299999893,22647.262707006357,21710.620000000003,21729.08,21942.927499999998,22226.905,0.43671600268927097,0.5133926809781338,21767.165009236644
2023-02-10 16:30:00,21630.6,21665.99,21594.19,21608.37,4473.86,96773939.78,21622.85,21624.79,21630.09,0,21934.396836162003,21569.686513885255,21969.96063040341,21549.603369597244,22133.890925439802,22028.69767499986,21906.12237899173,21672.200162184734,21717.04714285696,21794.25941176473,21931.01888888857,22362.287349999893,22642.7533121019,21710.620000000003,21729.08,21942.927499999998,22226.905,0.4074996240421278,0.47541784702704337,21752.04167502363
2023-02-10 16:45:00,21607.01,21649.42,21573.47,21607.11,5182.98,112014113.9,21610.0,21609.25,21611.45,43,21917.548303379248,21558.929013330177,21985.82778266412,21521.09521733653,22125.183041279797,22019.510675694306,21896.491271146508,21666.369732775056,21678.879999999823,21786.198529411788,21920.91878787847,22355.06334999989,22638.18544585986,21710.620000000003,21729.08,21939.08,22226.905,0.37499981714537034,0.43707914444853435,21738.238658354712
2023-02-10 17:00:00,21607.09,21646.0,21600.0,21606.34,3370.3,72889069.79,21617.45,21614.86,21623.0,43,21896.25556189063,21555.098200846467,21996.600531316442,21494.293468684213,22116.721300479796,22010.665198610972,21888.02093404733,21660.259520854626,21645.44142857125,21778.1973529412,21911.34999999968,22348.38094999989,22633.727484076422,21710.620000000003,21729.08,21925.427499999998,22226.905,0.3617878590717691,0.4067758272856506,21725.67688136855
2023-02-10 17:15:00,21607.88,21618.34,21558.13,21573.99,4803.4,103686508.43,21583.49,21589.59,21588.24,27,21876.793324184277,21545.66769924453,22010.970504335754,21461.520495664896,22107.775737599797,22001.529123610973,21879.155068286593,21652.161935634977,21624.259999999824,21768.921176470612,21901.581616161297,22341.48214999989,22629.238566878972,21710.620000000003,21729.08,21925.427499999998,22226.905,0.322924317171882,0.37881463421161127,21711.230511714402
2023-02-10 17:30:00,21575.61,21640.91,21569.12,21617.73,3798.25,82096515.62,21609.25,21600.84,21605.02,9,21865.690232297824,21538.96116985205,22012.007395382952,21444.589604617697,22099.045280639795,21992.422254860972,21872.096806474823,21644.60297391734,21619.065714285538,21761.374117647083,21892.55060606029,22335.054549999895,22624.90363057324,21710.620000000003,21729.08,21909.9175,22226.905,0.33000801494770254,0.36079925620940656,21702.325701074937
2023-02-10 17:45:00,21616.78,21699.52,21613.21,21692.07,3667.5,79462424.12,21668.27,21655.4,21656.37,9,21865.639045739827,21537.058889538628,22011.622145217403,21442.33385478325,22090.839953919793,21983.576427083193,21867.927863875895,21639.074065535864,21619.457142856965,21755.61117647061,21883.627373737054,22329.153499999895,22620.731433121015,21710.620000000003,21724.635000000002,21838.05,22226.905,0.3840384218685582,0.3609573139599975,21701.348967639227
2023-02-10 18:00:00,21693.04,21708.35,21671.67,21693.29,2862.76,62086858.41,21691.1,21691.59,21690.01,43,21855.77851720222,21545.384376621143,22006.078348954547,21439.508651046108,22082.836110719796,21975.35676041653,21865.101346610787,21634.168378879407,21628.41428571411,21750.52852941179,21874.758585858268,22323.57644999989,22616.612324840757,21710.620000000003,21723.455,21852.697500000002,22226.905,0.4317218319254814,0.3753886984793518,21700.58144691168
2023-02-10 18:15:00,21693.29,21738.56,21692.12,21710.89,3097.02,67264654.49,21713.86,21708.72,21715.34,0,21850.528577133955,21552.59785061099,21997.462384296537,21439.674615704113,22075.082746879794,21967.29733541653,21863.530137974125,21629.910348300382,21643.059999999823,21747.312647058847,21866.6218181815,22318.11494999989,22612.579363057317,21710.620000000003,21723.455,21852.697500000002,22226.905,0.5239520883274699,0.41305601034076717,21701.563213872472
